contrato_id,valor_bem,num_parcelas,parcela_atual,contemplado,data_contemplacao
761,63321.67,60,17,não,
771,273946.24,180,6,não,
782,24590.18,80,8,não,
785,324567.73,180,7,não,
786,99621.08,80,7,não,
787,91372.41,200,17,sim,2025-11-06
789,119019.23,60,16,sim,2026-02-13
793,356854.78,80,10,não,
794,479616.64,120,11,não,
796,17376.19,60,6,não,
800,18106.99,200,5,não,
802,112109.1,80,12,não,
808,240183.39,100,10,não,
811,25788.64,180,15,não,
818,160894.73,100,16,não,
826,18009.8,200,6,sim,2026-04-15
830,20117.79,80,6,sim,2026-05-13
834,56798.31,200,16,sim,2026-04-20
835,476184.85,80,8,sim,2026-01-13
842,78168.23,200,1,não,
843,28160.79,100,9,não,
847,16471.37,100,7,sim,2027-01-11
851,30364.41,200,11,não,
854,291416.58,120,5,não,
857,415985.88,180,14,não,
858,573840.56,200,9,não,
860,200831.15,100,1,não,
863,8818.37,120,1,não,
864,362645.85,120,3,não,
867,11234.31,200,7,não,
870,23917.29,120,11,não,
884,70285.35,200,8,não,
890,447015.69,80,7,não,
893,306992.45,120,9,não,
900,208678.43,120,4,não,
904,520917.78,200,16,não,
913,597946.79,180,6,não,
918,582285.96,100,2,não,
925,33469.17,100,16,não,
927,267220.95,120,11,não,
932,23257.62,60,16,sim,2026-03-11
944,21194.68,180,15,não,
945,69322.55,200,5,sim,2026-08-27
953,188215.34,60,1,não,
955,8468.21,120,5,não,
958,104508.44,80,6,não,
962,112602.57,80,7,não,
964,32694.39,100,10,sim,2026-11-30
971,425963.5,200,6,não,
974,230476.11,180,1,não,
977,31253.32,100,8,não,
979,66034.44,100,6,não,
988,69058.08,120,1,não,
997,98628.97,120,6,não,
1011,105561.95,120,7,não,
1013,72215.9,100,1,não,
1017,267234.56,200,6,não,
1020,115381.29,180,1,sim,2027-05-26
1022,90338.94,80,16,não,
1028,162932.93,180,10,sim,2026-12-21
1035,369624.01,180,2,não,
1036,336741.72,60,8,sim,2026-12-09
1041,528456.63,200,15,não,
1045,68208.9,200,2,não,
1048,103327.85,180,2,não,
1049,13945.04,120,10,não,
1051,8002.03,120,2,sim,2027-01-28
1059,514835.25,120,14,não,
1063,68224.03,200,15,não,
1074,58009.4,100,9,não,
1082,345032.48,200,6,sim,2026-07-21
1083,11517.46,60,5,não,
1085,71090.55,60,12,não,
1091,30591.99,200,3,sim,2026-06-15
1098,553023.17,80,12,não,
1103,475552.49,200,17,não,
1104,413466.25,120,2,sim,2027-01-29
1107,83869.89,80,13,sim,2026-04-25
1110,56418.6,80,3,não,
1111,109376.49,120,12,sim,2026-10-09
1119,253983.58,200,8,sim,2026-12-15
1120,100598.73,120,12,não,
1128,14299.5,60,12,não,
1129,83952.99,180,1,não,
1135,23830.12,80,4,não,
1139,23048.34,180,2,não,
1143,61515.94,60,10,não,
1157,13008.82,180,7,não,
1158,28019.67,60,3,não,
1159,431868.81,100,16,não,
1162,24679.68,100,1,não,
1167,98234.85,120,3,não,
1168,368671.01,100,4,não,
1175,18051.53,200,12,não,
1181,285988.33,120,17,sim,2025-03-31
1186,154389.78,120,2,não,
1187,72799.12,120,7,não,
1190,109350.09,120,1,não,
1192,435281.13,60,1,não,
1194,18830.71,60,1,sim,2026-10-23
1196,32592.57,200,3,não,
1198,550945.92,60,15,não,
1201,217438.98,180,6,não,
1204,461525.42,180,11,sim,2026-02-07
1220,30376.3,60,1,não,
1224,34999.01,180,13,não,
1226,33667.49,200,1,não,
1227,113780.78,120,8,não,
1230,66650.09,180,16,não,
1232,48362.16,200,12,não,
1239,374863.94,120,17,não,
1240,49806.39,120,10,não,
1243,101734.1,80,11,não,
1248,85639.52,80,17,não,
1255,18453.14,200,8,não,
1261,14295.67,100,6,não,
1263,48461.32,120,2,não,
1266,81923.65,120,5,não,
1270,27910.07,180,1,não,
1275,21688.73,80,8,não,
1276,114220.87,60,12,sim,2026-01-20
1277,219901.23,120,1,não,
1278,390577.71,180,5,sim,2026-03-25
1286,328296.51,60,3,não,
1296,73243.66,100,2,não,
1297,436066.95,120,15,não,
1300,9693.35,100,11,não,
1309,56884.21,80,1,não,
1312,353529.38,120,9,não,
1317,317893.78,120,9,sim,2025-12-19
1319,72373.78,200,5,não,
1326,18808.54,60,15,não,
1328,529490.08,100,5,não,
1334,9159.37,120,14,não,
1341,49361.14,180,11,não,
1345,12995.17,80,6,não,
1348,506078.4,80,2,não,
1349,82367.84,80,1,sim,2026-09-22
1355,259939.26,80,9,não,
1356,93445.3,100,6,sim,2026-04-10
1360,57974.24,80,6,não,
1371,285939.53,60,14,não,
1376,261382.38,80,15,não,
1379,520806.31,100,16,sim,2025-09-04
1389,5789.43,60,4,não,
1391,97272.58,60,10,não,
1394,24899.89,180,13,não,
1395,19356.22,80,17,não,
1397,29098.78,200,16,não,
1400,52045.02,80,9,não,
1407,14446.72,100,1,não,
1410,32712.75,80,10,não,
1411,20170.01,80,11,sim,2025-11-02
1413,61454.07,180,1,não,
1416,205813.31,60,16,sim,2026-01-08
1426,115657.94,120,4,sim,2027-02-19
1431,94439.83,180,5,não,
1440,357689.44,60,5,não,
1442,4898.7,120,17,não,
1445,93977.88,60,11,não,
1451,589648.31,200,13,não,
1453,97440.94,60,18,não,
1457,84197.02,180,15,não,
1459,47679.97,60,1,não,
1461,26666.21,200,4,sim,2026-08-20
1469,64022.11,80,7,não,
1471,27458.35,120,8,não,
1480,266627.92,200,9,não,
1492,109693.68,80,15,não,
1497,457722.35,180,15,não,
1499,219834.15,200,3,não,
1508,71197.78,120,11,não,
1520,534416.8,200,4,sim,2026-12-18
1523,157747.13,180,10,não,
1530,23508.12,120,14,sim,2026-01-15
1539,16858.63,60,13,não,
1548,23179.37,120,4,não,
1550,31998.33,60,1,não,
1554,56232.18,120,4,não,
1557,53693.28,120,10,sim,2026-09-07
1560,70499.75,120,1,não,
1564,470743.75,80,3,não,
1569,26772.72,60,7,não,
1572,64240.98,200,15,não,
1574,167314.32,120,10,não,
1575,14227.91,80,10,sim,2026-03-29
1577,52608.31,200,3,não,
1582,53628.38,180,14,não,
1590,403742.82,80,15,sim,2026-03-18
1592,355372.05,120,4,sim,2026-12-31
1593,17146.4,80,5,não,
1606,19417.11,200,9,não,
1610,92441.4,60,12,não,
1619,91270.33,200,11,não,
1621,55671.06,100,12,não,
1630,93420.52,120,16,sim,2025-11-26
1636,34243.63,200,8,não,
1637,26554.02,120,17,não,
1639,115157.77,180,7,não,
1640,18222.59,60,16,não,
1642,64028.36,100,15,não,
1649,91331.0,80,7,não,
1656,72877.58,100,7,não,
1663,24146.17,180,9,não,
1664,567765.21,80,5,não,
1672,28361.34,120,14,não,
1673,235375.14,200,10,sim,2025-12-15
1675,19616.39,100,1,não,
1677,352980.91,200,1,não,
1681,47167.26,80,6,não,
1682,271977.07,60,17,sim,2025-05-16
1688,98583.67,80,9,não,
1689,516978.83,80,1,não,
1693,15060.21,200,12,sim,2026-05-20
1697,30794.3,100,4,não,
1701,65182.14,180,5,não,
1709,405244.41,120,14,não,
1711,19681.43,60,11,não,
1713,398840.51,100,3,não,
1715,74841.71,80,16,não,
1725,208794.33,180,4,não,
1735,12770.28,80,9,sim,2026-04-18
1737,306702.86,180,10,não,
1739,17723.87,80,7,não,
1743,21516.74,120,3,não,
1745,48694.8,80,7,não,
1750,16744.2,100,1,não,
1758,341470.87,180,12,sim,2025-10-17
1762,69530.22,200,13,não,
1763,9759.17,200,5,sim,2026-11-17
1766,337991.86,100,16,não,
1767,50702.43,120,8,não,
1769,361193.91,100,7,não,
1773,3157.61,180,10,não,
1774,10929.43,60,4,sim,2027-03-06
1777,27240.32,200,4,sim,2027-06-24
1783,588148.28,80,1,não,
1789,62757.91,180,2,não,
1794,387515.07,120,6,não,
1799,105063.24,200,2,não,
1804,19392.28,120,6,não,
1806,214872.77,100,10,não,
1812,34089.12,80,1,não,
1815,374598.48,60,1,não,
1818,12713.75,60,13,não,
1819,76379.29,200,11,não,
1821,588299.12,200,2,não,
1823,66749.79,120,9,não,
1824,283828.32,60,2,não,
1835,7452.7,120,4,não,
1842,320098.28,200,1,não,
1847,25570.62,180,9,não,
1861,87224.53,80,7,sim,2026-04-23
1869,113902.81,100,5,não,
1874,336577.75,200,1,não,
1879,14701.36,80,14,não,
1886,12994.02,200,4,não,
1887,29769.95,200,8,não,
1892,116551.58,80,8,sim,2026-09-17
1896,185802.57,200,3,não,
1897,20883.19,80,1,não,
1902,104083.38,180,6,não,
1911,13393.18,80,5,não,
1915,106110.01,100,6,não,
1918,34440.1,80,11,não,
1920,12753.11,200,6,não,
1921,17408.86,80,17,não,
1926,586700.93,100,7,não,
1933,48826.11,60,7,não,
1946,13629.55,200,8,não,
1951,114420.25,60,12,não,
1952,443130.68,60,6,não,
1957,456698.62,80,5,não,
1959,457172.43,120,4,não,
1961,119744.54,200,3,não,
1964,47456.49,80,5,não,
1967,67540.41,80,13,não,
1971,27379.58,200,1,não,
1974,14662.07,120,1,sim,2026-09-21
1977,449477.45,60,3,não,
1978,81206.19,120,4,sim,2027-04-27
1987,408128.72,80,8,não,
1989,25338.06,200,8,sim,2026-12-03
1993,168629.24,100,5,não,
1998,415713.37,100,14,não,
2001,150894.89,200,6,não,
2003,19582.09,60,10,não,
2010,492101.17,180,3,não,
2020,50948.93,180,6,não,
2021,66482.83,120,4,não,
2024,27551.7,60,4,sim,2026-08-17
2032,12230.23,80,8,não,
2034,34115.44,120,7,não,
2039,117328.19,120,3,não,
2041,15998.07,120,14,não,
2044,550872.87,60,1,não,
2052,18454.26,180,14,não,
2056,154288.01,200,11,não,
2057,29336.48,120,16,não,
2076,100885.44,80,4,não,
2077,55845.95,60,4,não,
2085,304886.86,180,1,não,
2096,22035.68,100,11,não,
2112,375779.0,120,11,não,
2117,150060.77,60,18,sim,2025-10-05
2133,32148.04,120,12,não,
2139,75142.17,80,10,sim,2026-01-04
2140,32334.26,100,12,não,
2144,111141.86,120,4,não,
2150,231127.87,120,12,não,
2157,21520.82,180,18,não,
2160,81341.24,80,4,não,
2163,17691.41,80,18,não,
2166,75426.66,200,5,não,
2167,334474.99,120,11,não,
2175,281695.78,180,1,sim,2027-05-01
2176,22655.26,100,8,sim,2026-10-30
2190,112657.28,120,9,não,
2201,80242.09,100,16,não,
2206,412936.46,100,4,não,
2209,447027.29,60,8,não,
2213,454472.19,200,5,não,
2219,75841.91,80,11,não,
2221,273323.93,80,10,não,
2223,444246.23,180,8,não,
2225,97800.99,100,9,sim,2026-07-04
2235,317956.17,100,1,sim,2027-03-11
2236,96796.97,120,13,não,
2238,362684.95,60,4,não,
2241,62418.33,60,11,não,
2243,22585.59,80,1,sim,2027-02-02
2247,112936.3,120,8,não,
2256,60716.78,80,14,não,
2270,95813.79,80,9,não,
2276,52861.48,200,12,não,
2280,14550.63,120,10,não,
2282,22630.09,60,2,não,
2290,528469.85,180,1,não,
2293,57499.89,60,16,sim,2026-03-22
2295,274587.06,180,1,não,
2300,314369.9,120,12,não,
2305,15947.95,80,6,sim,2026-06-06
2307,64587.45,60,4,não,
2308,113076.67,180,15,não,
2309,23315.17,180,11,sim,2025-12-01
2315,91915.52,120,6,não,
2321,75581.41,100,5,não,
2324,329883.71,180,3,não,
2328,25250.97,60,1,não,
2336,55736.02,120,1,não,
2337,33726.8,80,12,sim,2025-08-17
2338,99221.6,180,6,não,
2340,29796.33,120,15,sim,2026-02-02
2348,18572.01,60,16,não,
2355,29166.4,80,13,não,
2361,518934.82,60,16,não,
2373,50081.35,120,15,não,
2387,50607.67,80,15,não,
2399,29575.92,80,5,sim,2026-03-13
2401,211712.51,120,9,não,
2407,28786.62,120,7,sim,2026-12-20
2411,86956.9,180,8,não,
2418,119205.85,80,11,sim,2025-12-25
2424,224249.79,120,11,não,
2434,384405.07,180,17,não,
2441,588386.83,100,14,não,
2453,581335.65,100,1,não,
2457,287323.7,80,16,sim,2026-06-29
2468,17662.53,100,16,não,
2471,51520.6,200,4,não,
2473,16754.86,120,5,não,
2476,83662.89,200,12,não,
2478,31623.38,80,10,não,
2490,58659.3,100,1,não,
2496,60412.83,200,12,sim,2025-11-04
2500,115728.2,60,17,não,
2506,83094.97,60,4,não,
2509,86809.09,180,12,não,
2514,117523.05,100,4,sim,2026-07-04
2527,29319.73,180,2,não,
2529,67681.11,180,14,não,
2539,372464.38,100,5,não,
2545,81533.98,200,1,não,
2556,93259.58,200,5,não,
2559,347946.57,60,7,não,
2561,548376.33,180,1,não,
2563,425257.11,60,16,sim,2025-12-21
2575,32426.08,100,3,não,
2582,27558.27,100,1,não,
2584,81060.02,120,1,não,
2592,556190.45,80,16,não,
2594,76479.8,100,9,não,
2601,80643.16,200,11,não,
2605,25403.51,180,7,não,
2608,388184.79,100,1,não,
2612,100475.97,120,4,não,
2614,26939.63,200,16,não,
2615,80640.12,100,13,não,
2627,46940.15,120,12,não,
2638,191273.93,180,13,não,
2656,90827.6,60,15,não,
2660,296769.58,120,13,não,
2665,3929.46,80,3,não,
2668,288079.26,120,7,não,
2678,538713.37,200,11,sim,2025-12-03
2681,31946.86,60,9,não,
2684,18378.36,80,4,não,
2694,170242.77,100,1,não,
2695,343984.19,120,9,não,
2702,63942.96,100,1,não,
2705,90738.51,120,6,não,
2708,27675.96,100,12,não,
2719,563367.8,180,1,não,
2730,54674.53,80,2,não,
2740,206067.7,60,16,não,
2746,117361.36,60,1,não,
2757,24053.49,60,13,não,
2761,76945.62,100,5,não,
2762,96119.2,80,9,sim,2026-05-23
2767,493207.33,60,17,sim,2025-11-17
2769,24176.81,200,8,não,
2773,29752.7,120,8,não,
2776,409477.63,200,4,sim,2027-05-16
2777,89423.06,180,8,não,
2779,401366.08,180,8,não,
2784,14856.55,80,4,não,
2786,80019.93,180,14,não,
2794,32903.98,200,15,não,
2797,48674.07,60,15,não,
2802,533096.53,120,12,não,
2806,185138.34,180,5,não,
2811,50971.13,80,12,não,
2815,110371.64,60,1,não,
2818,27536.14,60,14,não,
2820,53453.75,100,13,não,
2823,95768.72,60,13,não,
2826,400063.63,120,3,sim,2026-07-08
2829,16543.95,60,5,não,
2836,10710.92,180,13,não,
2846,499784.23,120,16,não,
2850,244176.97,180,6,não,
2861,226840.61,60,14,não,
2866,303872.64,60,16,não,
2870,66923.21,180,7,não,
2879,97579.51,80,2,não,
2881,22174.27,120,1,não,
2884,34110.54,60,4,sim,2026-07-10
2889,46379.32,120,11,não,
2894,492514.95,200,4,sim,2026-12-14
2898,353324.12,60,7,não,
2902,29685.95,60,1,não,
2904,354025.2,180,12,não,
2910,14794.58,120,6,não,
2914,47309.25,200,3,não,
2916,98978.57,60,17,sim,2025-05-02
2918,21836.36,200,13,não,
2925,61640.68,100,11,não,
2926,320638.73,100,12,não,
2931,30612.8,120,13,não,
2935,188918.81,120,12,não,
2941,420541.94,60,6,não,
2946,475727.13,120,13,não,
2947,62219.84,200,5,sim,2026-04-24
2950,56882.1,80,8,não,
2952,71211.72,120,8,não,
2962,555079.15,200,4,não,
2964,271698.32,120,8,não,
2972,334913.62,60,1,não,
2974,77893.0,60,4,não,
2978,449817.75,80,17,não,
2981,5769.73,100,9,sim,2026-06-01
2987,73158.32,120,13,sim,2026-03-05
2990,105621.32,180,10,não,
3010,31294.71,100,2,sim,2027-01-14
3011,23904.76,120,11,não,
3020,586801.45,80,9,não,
3036,247150.43,100,9,não,
3039,156722.28,60,7,não,
3042,177797.41,100,10,não,
3045,63743.06,180,12,sim,2026-02-02
3050,3794.82,60,13,sim,2026-01-16
3055,406355.38,120,8,não,
3057,95991.14,180,17,não,
3059,8277.23,180,15,não,
3063,587928.69,80,7,não,
3066,26002.07,200,1,não,
3074,567591.09,100,16,não,
3076,593366.43,100,3,não,
3078,175224.21,200,14,não,
3090,67581.5,60,15,não,
3107,53836.64,100,1,não,
3110,590681.26,80,3,não,
3113,169312.26,60,1,não,
3122,570872.49,80,14,não,
3126,33796.47,100,15,não,
3134,46864.5,200,12,não,
3136,45755.36,60,5,não,
3140,285589.02,200,11,não,
3143,20208.92,180,11,não,
3144,265607.18,180,2,não,
3151,21313.85,100,11,não,
