contrato_id,cliente_id,categoria_produto,subtipo,ano,mes,data_adesao,valor_mensal,status
24,12,seguro_cartao,Seguro Vida Cartão (Prestamista),2026,1,2026-01-01,8.85,ativo
25,13,cartao,Visa Platinum,2026,5,2026-05-02,37.76,ativo
26,13,seguro_cartao,Proteção Financeira do Cartão,2025,7,2025-07-19,23.55,suspenso
27,14,cartao,Visa Gold,2025,10,2025-10-08,71.28,ativo
28,15,seguro_cartao,Proteção Financeira do Cartão,2025,5,2025-05-26,13.15,ativo
29,15,cartao,Visa Standard,2025,12,2025-12-08,25.41,ativo
30,16,consorcio,Veículo Leve,2025,4,2025-04-10,1582.96,ativo
31,16,seguro_cartao,Seguro Vida Cartão (Prestamista),2025,1,2025-01-20,20.68,cancelado
32,16,seguro_avulso,Auto,2026,6,2026-06-21,289.22,ativo
33,17,seguro_cartao,Proteção Financeira do Cartão,2025,11,2025-11-18,17.61,ativo
34,18,cartao,Amex Platinum,2025,5,2025-05-20,44.05,ativo
35,19,cartao,Visa Platinum,2025,9,2025-09-21,30.96,ativo
36,20,consorcio,Veículo Leve,2026,4,2026-04-19,2680.66,ativo
37,20,cartao,Mastercard Black,2025,3,2025-03-25,25.54,suspenso
38,21,cartao,Mastercard Black,2026,6,2026-06-27,65.81,suspenso
39,21,seguro_avulso,Auto,2026,3,2026-03-08,329.15,ativo
40,21,seguro_cartao,Proteção Financeira do Cartão,2025,8,2025-08-21,14.13,ativo
41,22,seguro_avulso,Vida,2026,5,2026-05-01,67.83,ativo
42,22,consorcio,Motocicleta,2025,6,2025-06-27,1466.32,ativo
43,23,consorcio,Imóvel,2025,7,2025-07-01,2941.27,ativo
44,23,cartao,Elo Gold,2025,7,2025-07-06,40.48,ativo
45,24,consorcio,Imóvel,2025,4,2025-04-12,782.54,ativo
46,25,seguro_cartao,Proteção Financeira do Cartão,2025,3,2025-03-14,20.87,cancelado
47,25,consorcio,Motocicleta,2026,5,2026-05-26,444.02,ativo
48,26,cartao,Mastercard Standard,2026,5,2026-05-16,26.53,suspenso
49,26,consorcio,Imóvel,2026,6,2026-06-06,2093.72,ativo
50,27,cartao,Mastercard Gold,2025,9,2025-09-26,20.36,cancelado
51,28,cartao,Mastercard Gold,2025,8,2025-08-21,21.16,cancelado
52,29,cartao,Elo Standard,2025,2,2025-02-12,75.32,ativo
53,29,seguro_avulso,Vida,2025,1,2025-01-16,101.62,ativo
54,30,seguro_cartao,Seguro Vida Cartão (Prestamista),2025,7,2025-07-21,13.73,cancelado
55,31,cartao,Mastercard Gold,2025,4,2025-04-04,45.54,ativo
56,31,seguro_avulso,Vida,2025,6,2025-06-21,45.65,ativo
57,32,seguro_avulso,Auto,2025,10,2025-10-27,398.48,ativo
58,32,cartao,Mastercard Standard,2025,7,2025-07-12,35.28,ativo
59,33,cartao,Mastercard Gold,2025,8,2025-08-16,52.51,ativo
60,34,consorcio,Imóvel,2026,4,2026-04-27,1922.4,ativo
61,35,seguro_avulso,Garantia Estendida,2026,1,2026-01-07,45.95,ativo
62,36,cartao,Mastercard Black,2026,1,2026-01-01,32.07,ativo
63,36,seguro_avulso,Auto,2025,12,2025-12-11,381.25,ativo
64,37,cartao,Amex Platinum,2026,1,2026-01-15,26.35,ativo
65,37,seguro_avulso,Residencial,2025,11,2025-11-04,55.13,ativo
66,37,consorcio,Motocicleta,2025,7,2025-07-27,1946.8,cancelado
67,38,consorcio,Veículo Leve,2025,9,2025-09-12,2672.34,ativo
68,38,cartao,Elo Standard,2026,4,2026-04-06,65.98,ativo
69,38,seguro_avulso,Auto,2026,1,2026-01-26,307.55,ativo
70,39,seguro_avulso,Vida,2026,1,2026-01-09,117.21,ativo
71,40,cartao,Mastercard Standard,2025,11,2025-11-17,41.11,cancelado
72,40,seguro_cartao,Seguro Vida Cartão (Prestamista),2026,6,2026-06-12,8.94,ativo
73,41,seguro_cartao,Seguro Vida Cartão (Prestamista),2026,2,2026-02-11,10.35,ativo
74,42,seguro_avulso,Vida,2025,4,2025-04-10,104.44,ativo
75,43,seguro_avulso,Auto,2026,4,2026-04-06,305.32,ativo
76,44,seguro_cartao,Proteção Financeira do Cartão,2025,11,2025-11-05,20.08,ativo
77,45,seguro_cartao,Proteção Financeira do Cartão,2026,6,2026-06-19,24.02,ativo
78,46,consorcio,Veículo Leve,2025,10,2025-10-13,954.63,ativo
79,47,seguro_cartao,Proteção Financeira do Cartão,2026,1,2026-01-11,12.65,cancelado
80,48,consorcio,Motocicleta,2026,6,2026-06-06,2079.8,ativo
81,49,seguro_avulso,Vida,2025,5,2025-05-27,80.14,ativo
82,50,seguro_cartao,Proteção Financeira do Cartão,2025,2,2025-02-27,24.98,suspenso
83,50,seguro_avulso,Vida,2026,1,2026-01-04,110.74,ativo
84,50,cartao,Elo Gold,2025,12,2025-12-03,40.78,suspenso
85,51,consorcio,Veículo Leve,2025,10,2025-10-05,3426.25,ativo
86,51,seguro_cartao,Seguro Vida Cartão (Prestamista),2025,3,2025-03-12,18.73,ativo
87,51,cartao,Mastercard Gold,2025,4,2025-04-06,52.08,ativo
88,52,seguro_avulso,Residencial,2025,4,2025-04-03,45.02,ativo
89,53,cartao,Visa Gold,2025,2,2025-02-23,23.94,ativo
90,53,consorcio,Veículo Leve,2026,4,2026-04-23,1935.2,ativo
91,54,seguro_cartao,Seguro Vida Cartão (Prestamista),2026,5,2026-05-03,12.46,ativo
92,55,seguro_avulso,Garantia Estendida,2025,10,2025-10-14,34.19,ativo
93,56,cartao,Elo Gold,2026,6,2026-06-06,43.74,suspenso
94,56,seguro_avulso,Vida,2025,2,2025-02-14,114.19,ativo
95,57,seguro_cartao,Seguro Vida Cartão (Prestamista),2025,10,2025-10-26,9.75,ativo
96,57,cartao,Visa Platinum,2026,5,2026-05-18,56.57,ativo
97,58,seguro_avulso,Vida,2025,3,2025-03-17,108.79,ativo
98,59,seguro_cartao,Seguro Vida Cartão (Prestamista),2026,1,2026-01-19,10.05,ativo
99,59,cartao,Mastercard Gold,2026,3,2026-03-01,18.39,ativo
100,60,cartao,Mastercard Gold,2025,12,2025-12-13,19.13,ativo
101,60,seguro_avulso,Auto,2025,3,2025-03-26,406.24,cancelado
102,61,seguro_cartao,Seguro Vida Cartão (Prestamista),2025,5,2025-05-25,9.66,ativo
103,62,seguro_avulso,Residencial,2026,2,2026-02-22,61.76,ativo
104,62,seguro_cartao,Proteção Financeira do Cartão,2025,7,2025-07-21,11.11,ativo
105,62,cartao,Mastercard Standard,2025,4,2025-04-16,78.79,ativo
106,63,consorcio,Veículo Leve,2026,5,2026-05-07,465.62,ativo
107,64,cartao,Mastercard Gold,2026,1,2026-01-19,25.92,ativo
108,65,consorcio,Veículo Leve,2025,2,2025-02-21,1454.85,ativo
109,65,seguro_avulso,Auto,2026,3,2026-03-08,440.61,ativo
110,66,cartao,Mastercard Standard,2026,6,2026-06-09,67.56,ativo
111,67,cartao,Visa Standard,2025,12,2025-12-05,71.13,cancelado
112,67,seguro_avulso,Residencial,2025,3,2025-03-21,42.01,ativo
113,68,consorcio,Imóvel,2025,9,2025-09-25,3041.88,ativo
114,69,seguro_cartao,Proteção Financeira do Cartão,2026,3,2026-03-20,20.91,ativo
115,69,cartao,Visa Standard,2026,5,2026-05-16,63.15,ativo
116,70,consorcio,Motocicleta,2025,5,2025-05-14,649.66,ativo
117,70,cartao,Visa Platinum,2026,5,2026-05-05,41.39,ativo
118,70,seguro_avulso,Garantia Estendida,2025,11,2025-11-15,31.6,ativo
119,71,cartao,Visa Standard,2025,11,2025-11-13,24.9,cancelado
120,72,cartao,Mastercard Standard,2026,4,2026-04-12,39.88,ativo
121,73,seguro_cartao,Proteção Financeira do Cartão,2026,2,2026-02-02,9.96,ativo
122,74,cartao,Visa Platinum,2025,3,2025-03-12,70.87,cancelado
123,74,consorcio,Motocicleta,2025,12,2025-12-12,1146.77,ativo
124,74,seguro_avulso,Vida,2026,3,2026-03-18,120.32,ativo
125,75,seguro_cartao,Proteção Financeira do Cartão,2025,2,2025-02-25,18.32,ativo
126,75,cartao,Visa Platinum,2026,3,2026-03-20,79.57,ativo
127,75,seguro_avulso,Auto,2026,5,2026-05-11,157.28,ativo
128,76,seguro_avulso,Residencial,2025,4,2025-04-08,64.57,ativo
129,77,consorcio,Imóvel,2025,12,2025-12-07,726.39,cancelado
130,77,seguro_avulso,Residencial,2025,12,2025-12-07,31.21,cancelado
131,78,seguro_cartao,Proteção Financeira do Cartão,2026,6,2026-06-02,23.0,ativo
132,78,seguro_avulso,Vida,2025,10,2025-10-14,89.79,ativo
133,79,cartao,Visa Standard,2025,1,2025-01-26,39.31,ativo
134,80,seguro_avulso,Vida,2025,12,2025-12-13,112.32,ativo
135,80,seguro_cartao,Proteção Financeira do Cartão,2026,2,2026-02-23,16.79,ativo
136,81,cartao,Visa Platinum,2026,1,2026-01-02,29.06,ativo
137,81,seguro_cartao,Proteção Financeira do Cartão,2025,12,2025-12-19,8.6,ativo
138,82,cartao,Visa Gold,2026,5,2026-05-06,18.78,ativo
139,83,cartao,Mastercard Gold,2025,11,2025-11-15,29.58,ativo
140,84,seguro_avulso,Residencial,2025,11,2025-11-02,52.89,ativo
141,84,cartao,Amex Platinum,2025,8,2025-08-19,26.34,ativo
142,85,cartao,Elo Standard,2025,12,2025-12-17,74.28,cancelado
143,86,seguro_cartao,Seguro Vida Cartão (Prestamista),2025,8,2025-08-05,16.43,ativo
144,87,seguro_cartao,Seguro Vida Cartão (Prestamista),2025,7,2025-07-08,20.08,ativo
145,88,cartao,Mastercard Standard,2026,3,2026-03-03,28.79,suspenso
146,88,seguro_avulso,Vida,2026,4,2026-04-25,100.84,ativo
147,89,cartao,Visa Platinum,2025,4,2025-04-21,25.29,ativo
148,89,seguro_cartao,Seguro Vida Cartão (Prestamista),2025,5,2025-05-13,18.41,ativo
149,90,seguro_cartao,Proteção Financeira do Cartão,2025,2,2025-02-03,23.74,ativo
150,91,seguro_cartao,Proteção Financeira do Cartão,2025,3,2025-03-16,23.72,cancelado
151,92,consorcio,Veículo Leve,2025,1,2025-01-10,1444.57,ativo
152,93,consorcio,Veículo Leve,2025,12,2025-12-08,2368.64,ativo
153,93,cartao,Elo Standard,2025,7,2025-07-12,63.64,ativo
154,94,cartao,Visa Standard,2025,7,2025-07-05,73.35,ativo
155,94,consorcio,Imóvel,2025,11,2025-11-10,2849.42,cancelado
156,95,consorcio,Motocicleta,2025,10,2025-10-10,2217.32,ativo
157,95,cartao,Mastercard Black,2025,4,2025-04-01,35.73,ativo
158,96,cartao,Visa Gold,2026,1,2026-01-26,34.85,ativo
159,96,seguro_avulso,Vida,2026,5,2026-05-11,138.04,ativo
160,97,seguro_cartao,Proteção Financeira do Cartão,2025,11,2025-11-15,24.52,ativo
161,98,cartao,Mastercard Gold,2025,11,2025-11-13,47.46,ativo
162,98,seguro_avulso,Vida,2025,10,2025-10-03,71.3,cancelado
163,99,seguro_avulso,Vida,2025,4,2025-04-11,126.5,cancelado
164,100,cartao,Mastercard Standard,2026,1,2026-01-18,15.29,ativo
165,100,consorcio,Motocicleta,2025,5,2025-05-16,2477.09,cancelado
166,101,seguro_avulso,Residencial,2026,6,2026-06-06,57.58,ativo
167,102,cartao,Visa Standard,2025,3,2025-03-04,39.27,ativo
168,103,cartao,Amex Platinum,2026,6,2026-06-24,36.89,ativo
169,103,seguro_cartao,Seguro Vida Cartão (Prestamista),2026,2,2026-02-18,22.29,ativo
170,104,cartao,Amex Platinum,2025,12,2025-12-12,53.89,ativo
171,105,consorcio,Veículo Leve,2025,6,2025-06-18,1409.43,ativo
172,105,seguro_avulso,Residencial,2025,7,2025-07-17,56.8,ativo
173,106,cartao,Mastercard Gold,2025,7,2025-07-05,61.23,ativo
174,107,cartao,Visa Platinum,2025,7,2025-07-19,78.66,ativo
175,108,cartao,Visa Standard,2025,6,2025-06-13,25.51,ativo
176,109,cartao,Visa Gold,2026,2,2026-02-15,35.27,ativo
177,109,seguro_avulso,Vida,2026,2,2026-02-02,141.83,ativo
178,109,seguro_cartao,Seguro Vida Cartão (Prestamista),2026,6,2026-06-05,17.81,ativo
179,110,seguro_avulso,Garantia Estendida,2025,3,2025-03-18,44.89,cancelado
180,110,cartao,Visa Standard,2026,6,2026-06-20,47.47,ativo
181,111,seguro_avulso,Residencial,2025,10,2025-10-19,87.73,ativo
182,111,cartao,Visa Standard,2025,9,2025-09-01,59.87,ativo
183,112,consorcio,Motocicleta,2026,1,2026-01-13,2655.41,ativo
184,113,consorcio,Motocicleta,2025,4,2025-04-08,3372.32,cancelado
185,113,seguro_cartao,Proteção Financeira do Cartão,2025,11,2025-11-05,23.42,ativo
186,113,cartao,Visa Standard,2025,4,2025-04-12,63.46,cancelado
187,114,cartao,Visa Gold,2025,6,2025-06-17,23.6,ativo
188,114,seguro_avulso,Auto,2026,1,2026-01-02,359.09,ativo
189,115,cartao,Visa Standard,2026,6,2026-06-18,56.21,ativo
190,115,seguro_cartao,Proteção Financeira do Cartão,2026,1,2026-01-04,24.5,ativo
191,116,cartao,Elo Gold,2026,4,2026-04-13,67.43,ativo
192,117,cartao,Visa Platinum,2026,6,2026-06-14,34.35,ativo
193,117,consorcio,Veículo Leve,2026,4,2026-04-22,1695.37,ativo
194,118,seguro_cartao,Proteção Financeira do Cartão,2025,6,2025-06-15,10.78,ativo
195,118,cartao,Elo Gold,2025,5,2025-05-07,23.05,ativo
196,118,seguro_avulso,Vida,2025,6,2025-06-08,93.2,cancelado
197,119,seguro_cartao,Proteção Financeira do Cartão,2025,7,2025-07-09,8.79,ativo
198,119,cartao,Visa Gold,2026,2,2026-02-25,23.96,ativo
199,120,consorcio,Motocicleta,2025,1,2025-01-21,2463.09,ativo
200,121,consorcio,Veículo Leve,2025,1,2025-01-08,1388.41,ativo
201,122,seguro_avulso,Vida,2025,1,2025-01-12,101.68,cancelado
202,123,seguro_cartao,Seguro Vida Cartão (Prestamista),2025,6,2025-06-01,22.05,suspenso
203,124,cartao,Mastercard Gold,2025,2,2025-02-27,20.78,ativo
204,124,seguro_cartao,Seguro Vida Cartão (Prestamista),2025,4,2025-04-15,22.84,ativo
205,124,consorcio,Veículo Leve,2026,2,2026-02-09,442.76,ativo
206,125,seguro_cartao,Proteção Financeira do Cartão,2025,11,2025-11-27,24.13,ativo
207,126,cartao,Elo Gold,2025,7,2025-07-05,21.44,ativo
208,127,seguro_avulso,Residencial,2025,9,2025-09-22,59.32,ativo
209,127,consorcio,Motocicleta,2025,12,2025-12-18,957.79,ativo
210,128,cartao,Visa Standard,2026,1,2026-01-21,51.73,ativo
211,129,seguro_cartao,Seguro Vida Cartão (Prestamista),2025,1,2025-01-14,21.65,ativo
212,129,seguro_avulso,Auto,2025,1,2025-01-07,371.88,ativo
213,130,seguro_avulso,Residencial,2026,1,2026-01-12,75.76,ativo
214,130,cartao,Mastercard Black,2025,2,2025-02-12,31.21,ativo
215,131,cartao,Visa Gold,2025,7,2025-07-27,36.95,ativo
216,131,seguro_avulso,Vida,2025,6,2025-06-06,82.78,cancelado
217,132,consorcio,Veículo Pesado,2025,6,2025-06-02,1310.6,suspenso
218,133,cartao,Elo Gold,2026,3,2026-03-07,69.39,ativo
219,133,consorcio,Veículo Leve,2025,8,2025-08-03,1262.74,ativo
220,134,seguro_cartao,Proteção Financeira do Cartão,2026,6,2026-06-07,19.84,ativo
221,135,seguro_avulso,Auto,2025,6,2025-06-12,290.74,ativo
222,135,cartao,Mastercard Gold,2025,4,2025-04-12,69.87,suspenso
223,136,consorcio,Imóvel,2025,1,2025-01-17,3153.49,ativo
224,137,cartao,Elo Standard,2025,4,2025-04-05,37.6,cancelado
225,138,seguro_avulso,Auto,2025,6,2025-06-13,446.21,ativo
226,139,seguro_cartao,Seguro Vida Cartão (Prestamista),2026,2,2026-02-11,18.29,ativo
227,140,cartao,Visa Standard,2025,11,2025-11-06,46.75,ativo
228,141,consorcio,Motocicleta,2026,1,2026-01-03,3417.66,ativo
229,141,seguro_avulso,Residencial,2026,4,2026-04-05,43.44,ativo
230,142,cartao,Elo Standard,2025,8,2025-08-11,40.21,ativo
231,142,seguro_cartao,Proteção Financeira do Cartão,2025,4,2025-04-02,11.21,ativo
232,143,seguro_avulso,Garantia Estendida,2026,4,2026-04-08,20.73,ativo
233,143,consorcio,Imóvel,2026,1,2026-01-27,2043.08,ativo
234,143,cartao,Elo Standard,2026,6,2026-06-01,32.16,ativo
235,144,seguro_cartao,Seguro Vida Cartão (Prestamista),2025,11,2025-11-24,16.25,ativo
236,145,seguro_avulso,Auto,2026,2,2026-02-15,173.14,ativo
237,145,consorcio,Motocicleta,2025,10,2025-10-21,1893.74,ativo
238,146,cartao,Visa Gold,2025,4,2025-04-25,48.91,ativo
239,146,seguro_cartao,Seguro Vida Cartão (Prestamista),2026,2,2026-02-16,8.37,ativo
240,146,consorcio,Veículo Leve,2025,1,2025-01-25,2333.21,cancelado
241,147,cartao,Mastercard Standard,2026,3,2026-03-24,57.03,ativo
242,147,consorcio,Motocicleta,2026,5,2026-05-16,3180.81,ativo
243,148,consorcio,Veículo Leve,2025,8,2025-08-18,943.1,ativo
244,148,cartao,Mastercard Gold,2025,10,2025-10-03,32.35,ativo
245,149,cartao,Visa Gold,2026,3,2026-03-05,77.77,ativo
246,150,cartao,Visa Standard,2025,3,2025-03-26,27.21,ativo
247,151,cartao,Visa Standard,2025,1,2025-01-27,66.01,ativo
248,152,seguro_avulso,Vida,2025,12,2025-12-09,94.38,ativo
249,153,consorcio,Veículo Pesado,2025,1,2025-01-06,1647.2,cancelado
250,154,cartao,Mastercard Standard,2025,5,2025-05-01,17.33,ativo
251,155,cartao,Mastercard Black,2026,6,2026-06-15,27.85,cancelado
252,155,seguro_cartao,Proteção Financeira do Cartão,2025,9,2025-09-03,10.97,ativo
253,156,seguro_avulso,Vida,2025,7,2025-07-26,117.55,ativo
254,157,consorcio,Motocicleta,2026,6,2026-06-03,1116.63,ativo
255,158,seguro_cartao,Proteção Financeira do Cartão,2025,7,2025-07-01,9.14,cancelado
256,159,seguro_cartao,Seguro Vida Cartão (Prestamista),2026,2,2026-02-21,8.88,cancelado
257,160,seguro_avulso,Vida,2025,4,2025-04-24,149.28,ativo
258,160,cartao,Mastercard Standard,2025,12,2025-12-07,76.76,ativo
259,161,consorcio,Imóvel,2025,12,2025-12-22,2413.6,ativo
260,162,cartao,Mastercard Black,2026,4,2026-04-22,52.94,ativo
261,162,seguro_cartao,Seguro Vida Cartão (Prestamista),2025,12,2025-12-25,17.34,ativo
262,163,cartao,Visa Standard,2025,2,2025-02-14,57.48,ativo
263,163,seguro_cartao,Seguro Vida Cartão (Prestamista),2026,5,2026-05-07,20.74,suspenso
264,164,seguro_cartao,Seguro Vida Cartão (Prestamista),2025,11,2025-11-09,19.09,ativo
265,165,seguro_cartao,Proteção Financeira do Cartão,2026,5,2026-05-04,20.19,ativo
266,166,cartao,Mastercard Standard,2026,1,2026-01-05,77.2,ativo
267,167,seguro_cartao,Proteção Financeira do Cartão,2026,1,2026-01-19,14.7,ativo
268,167,cartao,Elo Gold,2025,5,2025-05-05,28.93,ativo
269,167,seguro_avulso,Auto,2025,11,2025-11-06,425.9,ativo
270,168,cartao,Visa Gold,2026,5,2026-05-25,48.71,ativo
271,169,cartao,Elo Standard,2026,3,2026-03-08,36.1,ativo
272,169,seguro_avulso,Residencial,2025,8,2025-08-08,55.4,ativo
273,170,consorcio,Motocicleta,2026,5,2026-05-15,1136.6,ativo
274,171,seguro_avulso,Residencial,2026,1,2026-01-24,55.87,ativo
275,172,seguro_avulso,Vida,2025,8,2025-08-18,128.87,ativo
276,172,consorcio,Imóvel,2025,3,2025-03-13,1756.01,ativo
277,173,seguro_cartao,Seguro Vida Cartão (Prestamista),2025,12,2025-12-03,20.93,cancelado
278,174,seguro_avulso,Garantia Estendida,2025,2,2025-02-14,50.71,cancelado
279,174,seguro_cartao,Seguro Vida Cartão (Prestamista),2025,7,2025-07-17,10.41,ativo
280,174,cartao,Visa Gold,2025,4,2025-04-14,59.03,ativo
281,175,seguro_avulso,Auto,2025,11,2025-11-15,221.15,ativo
282,175,seguro_cartao,Seguro Vida Cartão (Prestamista),2025,11,2025-11-20,10.8,cancelado
283,175,consorcio,Motocicleta,2025,2,2025-02-26,2335.56,suspenso
284,176,consorcio,Veículo Leve,2025,6,2025-06-03,2533.78,ativo
285,177,seguro_avulso,Residencial,2026,5,2026-05-16,78.98,ativo
286,177,consorcio,Imóvel,2025,12,2025-12-09,1722.17,ativo
287,178,cartao,Mastercard Standard,2025,5,2025-05-24,46.07,ativo
288,178,seguro_cartao,Seguro Vida Cartão (Prestamista),2026,1,2026-01-17,21.22,ativo
289,179,seguro_avulso,Vida,2025,3,2025-03-15,51.29,ativo
290,180,seguro_avulso,Garantia Estendida,2025,6,2025-06-24,42.97,ativo
291,181,seguro_avulso,Residencial,2025,6,2025-06-17,79.86,ativo
292,182,consorcio,Imóvel,2025,2,2025-02-16,1837.55,cancelado
293,182,seguro_avulso,Residencial,2025,10,2025-10-08,34.16,cancelado
294,183,seguro_avulso,Auto,2026,6,2026-06-17,413.5,ativo
295,184,seguro_avulso,Vida,2025,3,2025-03-08,101.74,ativo
296,184,seguro_cartao,Seguro Vida Cartão (Prestamista),2025,3,2025-03-16,19.52,ativo
297,185,seguro_cartao,Proteção Financeira do Cartão,2026,6,2026-06-10,21.03,ativo
298,185,cartao,Visa Standard,2025,12,2025-12-01,33.16,ativo
299,186,cartao,Mastercard Gold,2025,1,2025-01-12,54.77,suspenso
300,187,consorcio,Eletroeletrônico,2026,6,2026-06-16,1125.77,ativo
301,187,seguro_cartao,Proteção Financeira do Cartão,2025,1,2025-01-13,20.26,ativo
302,188,consorcio,Imóvel,2025,9,2025-09-25,2773.14,ativo
303,189,seguro_cartao,Proteção Financeira do Cartão,2026,3,2026-03-09,13.32,ativo
304,190,seguro_avulso,Residencial,2026,4,2026-04-15,80.38,ativo
305,191,consorcio,Imóvel,2025,4,2025-04-09,986.8,ativo
306,192,seguro_avulso,Auto,2026,5,2026-05-16,388.85,ativo
307,192,cartao,Visa Platinum,2025,5,2025-05-07,53.06,ativo
308,193,cartao,Mastercard Black,2025,1,2025-01-21,46.51,ativo
309,194,seguro_avulso,Garantia Estendida,2026,4,2026-04-17,54.76,ativo
310,195,cartao,Mastercard Standard,2025,5,2025-05-01,77.97,cancelado
311,195,seguro_cartao,Proteção Financeira do Cartão,2026,5,2026-05-04,13.21,ativo
312,196,consorcio,Motocicleta,2025,3,2025-03-04,1231.09,ativo
313,196,cartao,Elo Gold,2025,2,2025-02-10,40.28,ativo
314,196,seguro_avulso,Auto,2025,6,2025-06-12,180.43,ativo
315,197,seguro_avulso,Residencial,2025,11,2025-11-01,87.44,ativo
316,198,cartao,Mastercard Gold,2026,2,2026-02-16,59.89,ativo
317,199,seguro_avulso,Vida,2025,8,2025-08-26,74.42,ativo
318,200,cartao,Mastercard Gold,2025,8,2025-08-03,65.4,ativo
319,200,seguro_avulso,Auto,2026,1,2026-01-12,214.33,ativo
320,201,seguro_avulso,Auto,2025,12,2025-12-07,367.37,ativo
321,201,cartao,Mastercard Gold,2025,9,2025-09-14,59.61,ativo
322,201,consorcio,Motocicleta,2026,5,2026-05-23,2739.61,ativo
323,202,cartao,Visa Standard,2026,1,2026-01-11,18.35,ativo
324,203,consorcio,Veículo Leve,2025,10,2025-10-25,3486.0,cancelado
325,203,seguro_cartao,Proteção Financeira do Cartão,2025,3,2025-03-07,13.7,ativo
326,204,cartao,Elo Standard,2025,11,2025-11-24,29.94,cancelado
327,204,consorcio,Motocicleta,2026,2,2026-02-02,493.3,ativo
328,205,cartao,Mastercard Gold,2025,10,2025-10-21,77.54,ativo
329,206,seguro_avulso,Vida,2026,4,2026-04-13,74.37,ativo
330,207,seguro_cartao,Seguro Vida Cartão (Prestamista),2025,1,2025-01-27,8.4,ativo
331,208,consorcio,Imóvel,2025,5,2025-05-11,3281.46,ativo
332,208,seguro_avulso,Auto,2025,11,2025-11-04,390.84,ativo
333,209,seguro_cartao,Proteção Financeira do Cartão,2026,6,2026-06-23,13.03,ativo
334,210,seguro_cartao,Proteção Financeira do Cartão,2025,12,2025-12-17,12.38,cancelado
335,211,seguro_avulso,Auto,2026,5,2026-05-24,335.24,ativo
336,211,seguro_cartao,Seguro Vida Cartão (Prestamista),2025,8,2025-08-26,23.8,cancelado
337,212,seguro_cartao,Seguro Vida Cartão (Prestamista),2025,7,2025-07-12,21.92,suspenso
338,213,cartao,Visa Platinum,2026,5,2026-05-02,64.19,cancelado
339,214,consorcio,Veículo Leve,2025,7,2025-07-10,3382.18,ativo
340,214,seguro_cartao,Proteção Financeira do Cartão,2026,6,2026-06-09,16.73,ativo
341,214,cartao,Visa Platinum,2026,1,2026-01-16,50.82,ativo
342,215,consorcio,Veículo Leve,2026,5,2026-05-12,2000.71,ativo
343,215,seguro_cartao,Proteção Financeira do Cartão,2025,6,2025-06-25,10.57,ativo
344,215,seguro_avulso,Vida,2025,11,2025-11-20,52.98,ativo
345,216,cartao,Visa Standard,2025,3,2025-03-22,70.06,ativo
346,216,consorcio,Imóvel,2026,1,2026-01-02,2037.73,ativo
347,216,seguro_avulso,Vida,2026,3,2026-03-05,136.72,ativo
348,217,seguro_avulso,Garantia Estendida,2026,5,2026-05-16,42.62,ativo
349,217,cartao,Visa Gold,2025,12,2025-12-16,78.38,ativo
350,217,consorcio,Motocicleta,2026,4,2026-04-07,736.3,ativo
351,218,seguro_cartao,Proteção Financeira do Cartão,2025,11,2025-11-19,20.17,ativo
352,218,consorcio,Motocicleta,2026,6,2026-06-15,3297.57,ativo
353,219,cartao,Elo Standard,2025,1,2025-01-18,74.22,ativo
354,220,seguro_cartao,Seguro Vida Cartão (Prestamista),2026,6,2026-06-05,13.58,ativo
